trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.014314400032162666,,0.006570100085809827,0.014314400032162666,1.055382499936968,1.058192600030452,2.126945200143382,down,1,1.061993399867788,None,1,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
1,0,1,0,2.1446924000047147,,2.1340622999705374,2.1446924000047147,3.1409088000655174,3.1409088000655174,3.9924449999816716,up,1,0.8490491998381913,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
2,0,2,0,4.009893200127408,,3.996918600052595,4.009893200127408,5.006458400050178,5.006458400050178,5.540864600101486,up,1,0.5319348000921309,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
3,0,3,0,5.55869790003635,,5.543798400089145,5.55869790003635,6.555187700083479,6.555187700083479,7.056551499990746,up,1,0.49905220000073314,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
4,0,4,0,7.0741437000688165,,7.061006600037217,7.0741437000688165,8.070437100017443,8.070437100017443,8.655072499997914,down,1,0.5702510999981314,None,-4,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
5,0,5,0,8.6726375001017,,8.659513000166044,8.6726375001017,9.669149199966341,9.669149199966341,10.369786800118163,up,1,0.6981130000203848,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
6,0,6,0,10.387732800096273,,10.373282399959862,10.387732800096273,11.384260999970138,11.384260999970138,11.96794050000608,down,1,0.5771789001300931,None,-2,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
7,0,7,0,11.985689300112426,,11.972430200083181,11.985689300112426,12.982457699952647,12.982457699952647,13.717477600090206,up,1,0.7286515000741929,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
8,0,8,0,13.734912100015208,,13.722385399974883,13.734912100015208,14.731353200040758,14.731353200040758,15.349353400059044,down,1,0.6104683000594378,None,-2,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
9,0,9,0,15.366783899953589,,15.353912600083277,15.366783899953589,16.365788100054488,16.379531200043857,16.83123610005714,down,1,0.4494857999961823,None,-4,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
10,0,10,0,16.849163900129497,,16.836224100086838,16.849163900129497,17.84512860001996,17.84512860001996,18.563181899953634,up,1,0.7024025002028793,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
11,0,11,0,18.580347600160167,,18.56827859999612,18.580347600160167,19.57696590013802,19.57696590013802,20.111762800021097,up,1,0.5174775999039412,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
12,0,12,0,20.129351899959147,,20.116194300120696,20.129351899959147,21.12557559995912,21.12557559995912,21.67736790003255,up,1,0.5495495998766273,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
13,0,13,0,21.694854100001976,,21.681807100074366,21.694854100001976,22.694256799994037,22.70800060010515,23.192448199959472,up,1,0.48097630008123815,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
14,0,14,0,23.2101819999516,,23.19664500001818,23.2101819999516,24.209285200107843,24.223077200120315,24.823972100159153,up,1,0.6046364000067115,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
15,0,15,0,24.841824100119993,,24.829036900075153,24.841824100119993,25.838301500072703,25.838301500072703,26.306489400099963,up,1,0.45362630020827055,None,0,188245,001,2023-09-14_09h40.22.250,signal detection final- tutorial 2,2023.2.1,59.96861242661847,2023-09-14 09h40.30.778396 +0530,
