21.3614 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
23.4922 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019AAB030B50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019AAB030AF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019AAB030910>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019AAB281550>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.4924 	EXP 	window1: mouseVisible = True
23.4924 	EXP 	window1: backgroundImage = ''
23.4925 	EXP 	window1: backgroundFit = 'none'
23.4962 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
23.4962 	EXP 	window1: recordFrameIntervals = False
23.6583 	EXP 	window1: recordFrameIntervals = True
23.8416 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
23.8417 	EXP 	window1: recordFrameIntervals = False
23.8420 	EXP 	window1: mouseVisible = False
26.5991 	EXP 	signal detection final- tutorial 2: status = STARTED
26.6000 	EXP 	window1: mouseVisible = True
26.6039 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
26.6041 	EXP 	window1: mouseVisible = True
26.6093 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0059 	EXP 	Created sequence: random, trialTypes=1, nReps=200, seed=None
0.0066 	EXP 	New trial (rep=0, index=0): None
0.0143 	EXP 	grating: ori = 1.0
0.0143 	EXP 	fixation: autoDraw = True
1.0554 	EXP 	grating: autoDraw = True
1.0554 	EXP 	grating: tex = 'sin'
1.0582 	EXP 	fixation: autoDraw = False
1.3598 	EXP 	grating: autoDraw = False
2.1340 	EXP 	New trial (rep=1, index=0): None
2.1364 	DATA 	Keypress: down
2.1447 	EXP 	fixation: autoDraw = False
2.1447 	EXP 	grating: autoDraw = False
2.1447 	EXP 	grating: ori = 0.0
2.1447 	EXP 	fixation: autoDraw = True
3.1409 	EXP 	fixation: autoDraw = False
3.1409 	EXP 	grating: autoDraw = True
3.4409 	EXP 	grating: autoDraw = False
3.9969 	EXP 	New trial (rep=2, index=0): None
3.9989 	DATA 	Keypress: up
4.0099 	EXP 	fixation: autoDraw = False
4.0099 	EXP 	grating: autoDraw = False
4.0099 	EXP 	grating: ori = 0.0
4.0099 	EXP 	fixation: autoDraw = True
5.0065 	EXP 	fixation: autoDraw = False
5.0065 	EXP 	grating: autoDraw = True
5.3062 	EXP 	grating: autoDraw = False
5.5438 	EXP 	New trial (rep=3, index=0): None
5.5458 	DATA 	Keypress: up
5.5587 	EXP 	fixation: autoDraw = False
5.5587 	EXP 	grating: autoDraw = False
5.5587 	EXP 	grating: ori = 0.0
5.5587 	EXP 	fixation: autoDraw = True
6.5552 	EXP 	fixation: autoDraw = False
6.5552 	EXP 	grating: autoDraw = True
6.8549 	EXP 	grating: autoDraw = False
7.0610 	EXP 	New trial (rep=4, index=0): None
7.0629 	DATA 	Keypress: up
7.0741 	EXP 	fixation: autoDraw = False
7.0741 	EXP 	grating: autoDraw = False
7.0741 	EXP 	grating: ori = -4.0
7.0741 	EXP 	fixation: autoDraw = True
8.0704 	EXP 	fixation: autoDraw = False
8.0704 	EXP 	grating: autoDraw = True
8.3696 	EXP 	grating: autoDraw = False
8.6595 	EXP 	New trial (rep=5, index=0): None
8.6621 	DATA 	Keypress: down
8.6726 	EXP 	fixation: autoDraw = False
8.6726 	EXP 	grating: autoDraw = False
8.6726 	EXP 	grating: ori = 0.0
8.6726 	EXP 	fixation: autoDraw = True
9.6691 	EXP 	fixation: autoDraw = False
9.6691 	EXP 	grating: autoDraw = True
9.9686 	EXP 	grating: autoDraw = False
10.3733 	EXP 	New trial (rep=6, index=0): None
10.3749 	DATA 	Keypress: up
10.3877 	EXP 	fixation: autoDraw = False
10.3877 	EXP 	grating: autoDraw = False
10.3877 	EXP 	grating: ori = -2.0
10.3877 	EXP 	fixation: autoDraw = True
11.3843 	EXP 	fixation: autoDraw = False
11.3843 	EXP 	grating: autoDraw = True
11.6839 	EXP 	grating: autoDraw = False
11.9724 	EXP 	New trial (rep=7, index=0): None
